date,sent
4/19/17,0.053627976
4/20/17,0.066461538
4/21/17,0.074372168
4/22/17,0.0549375
4/23/17,0.065628788
4/24/17,0.056139175
4/25/17,0.083985043
4/26/17,0.07698818
4/27/17,0.100602996
4/28/17,0.085426471
4/29/17,0.090894068
4/30/17,0.080235669
5/1/17,0.090905085
5/2/17,0.057948276
5/3/17,0.063739264
5/4/17,0.077099042
5/5/17,0.073073314
5/6/17,0.084097561
5/7/17,0.068447761
5/8/17,0.079622568
5/9/17,0.079519747
5/10/17,0.055649616
5/11/17,0.063935385
5/12/17,0.042121212
5/13/17,0.043899371
5/14/17,0.090956835
5/15/17,0.066476281
5/16/17,0.078068041
5/17/17,0.058286927
5/18/17,0.08137469
5/19/17,0.072622302
5/20/17,0.059923077
5/21/17,0.077853659
5/22/17,0.081996764
5/23/17,0.087034483
5/24/17,0.095103529
5/25/17,0.092216769
5/26/17,0.068176471
5/27/17,0.063618644
5/28/17,0.062175258
5/29/17,0.072106195
5/30/17,0.079181818
5/31/17,0.066771543
6/1/17,0.069016287
6/2/17,0.109802057
6/3/17,0.088706349
6/4/17,0.0572
6/5/17,0.087297959
6/6/17,0.066588737
6/7/17,0.058452785
6/8/17,0.069540541
6/9/17,0.041187948
6/10/17,0.057276786
6/11/17,0.05649162
6/12/17,0.062520451
6/13/17,0.066683215
6/14/17,0.058295681
6/15/17,0.067028169
6/16/17,0.10935297
6/17/17,0.081475439
6/18/17,0.09979726
6/19/17,0.075496599
6/20/17,0.082601227
6/21/17,0.065706186
6/22/17,0.06260312
6/23/17,0.071402397
6/24/17,0.070567961
6/25/17,0.08084466
6/26/17,0.0505
6/27/17,0.040509328
6/28/17,0.054885246
6/29/17,0.074780201
6/30/17,0.08126009
7/1/17,0.104736842
7/2/17,0.086584699
7/3/17,0.072757238
7/4/17,0.092467153
7/5/17,0.096330189
7/6/17,0.062605941
7/7/17,0.06781448
7/8/17,0.103081818
7/9/17,0.088508197
7/10/17,0.079529244
7/11/17,0.084298649
7/12/17,0.079551343
7/13/17,0.072342
7/14/17,0.056842629
7/15/17,0.075134058
7/16/17,0.098028436
7/17/17,0.071912773
7/18/17,0.08052346
7/19/17,0.081823651
7/20/17,0.058892006
7/21/17,0.054283394
7/22/17,0.061753333
7/23/17,0.058132597
7/24/17,0.078882353
7/25/17,0.054047081
7/26/17,0.086982425
7/27/17,0.076402614
7/28/17,0.061616721
7/29/17,0.074310345
7/30/17,0.084024155
7/31/17,0.05231127
8/1/17,0.064968689
8/2/17,0.048985537
8/3/17,0.074368298
8/4/17,0.063496528
8/5/17,0.078933333
8/6/17,0.057160305
8/7/17,0.074925501
8/8/17,0.073637255
8/9/17,0.073192399
8/10/17,0.055688976
8/11/17,0.06964135
8/12/17,0.080154545
8/13/17,0.086711268
8/14/17,0.073973301
8/15/17,0.059955102
8/16/17,0.04840411
8/17/17,0.060901503
8/18/17,0.060323155
8/19/17,0.071941606
8/20/17,0.065614865
8/21/17,0.059994937
8/22/17,0.074044321
8/23/17,0.065387173
8/24/17,0.055559247
8/25/17,0.048429487
8/26/17,0.083075949
8/27/17,0.080970588
8/28/17,0.04976007
8/29/17,0.052114754
8/30/17,0.046960103
8/31/17,0.065933486
9/1/17,0.079689459
9/2/17,0.111900826
9/3/17,0.083473214
9/4/17,0.077943662
9/5/17,0.062424354
9/6/17,0.047527157
9/7/17,0.079817223
9/8/17,0.062235612
9/9/17,0.037199058
9/10/17,0.022185668
9/11/17,0.041386447
9/12/17,0.052119548
9/13/17,0.078530359
9/14/17,0.069806137
9/15/17,0.066563258
9/16/17,0.075903766
9/17/17,0.062445415
9/18/17,0.046472603
9/19/17,0.050035961
9/20/17,0.1038921
9/21/17,0.081537234
9/22/17,0.077541966
9/23/17,0.077519337
9/24/17,0.06530625
9/25/17,0.048993043
9/26/17,0.076111111
9/27/17,0.087673004
9/28/17,0.07886918
9/29/17,0.072925234
9/30/17,0.087057971
10/1/17,0.08275
10/2/17,0.074586006
10/3/17,0.0642251
10/4/17,0.064669884
10/5/17,0.067338583
10/6/17,0.090077612
10/7/17,0.082724719
10/8/17,0.08178453
10/9/17,0.068839286
10/10/17,0.079959016
10/11/17,0.096816029
10/12/17,0.08318124
10/13/17,0.069293135
10/14/17,0.092396907
10/15/17,0.084115646
10/16/17,0.09435
10/17/17,0.091887387
10/18/17,0.017818182
10/19/17,0.07406237
10/20/17,0.08541133
10/21/17,0.067411458
10/22/17,0.082468085
10/23/17,0.077320598
10/24/17,0.083667851
10/25/17,0.070270417
10/26/17,0.120140625
10/27/17,0.095295752
10/28/17,0.090732283
10/29/17,0.078084375
10/30/17,0.087313187
10/31/17,0.090230769
11/1/17,0.080250575
11/2/17,0.065808791
11/3/17,0.092095023
11/4/17,0.096101796
11/5/17,0.068562874
11/6/17,0.086104859
11/7/17,0.089250639
11/8/17,0.098820972
11/9/17,0.069617904
11/10/17,0.053191489
11/11/17,0.0557
11/12/17,0.063586957
11/13/17,0.08180597
11/14/17,0.079317422
11/15/17,0.068467925
11/16/17,0.108568376
11/17/17,0.076063395
11/18/17,0.092218935
11/19/17,0.058972973
11/20/17,0.068362725
11/21/17,0.091600962
11/22/17,0.106624113
11/23/17,0.073431507
11/24/17,0.095050971
11/25/17,0.051608247
11/26/17,0.075716667
11/27/17,0.08153592
11/28/17,0.075559486
11/29/17,0.052668005
11/30/17,0.075137457
12/1/17,0.067109756
12/2/17,0.070355769
12/3/17,0.05952027
12/4/17,0.060332579
12/5/17,0.041650273
12/6/17,0.054674858
12/7/17,0.060860759
12/8/17,0.07963311
12/9/17,0.094208
12/10/17,0.061915385
12/11/17,0.080642105
12/12/17,0.062892857
12/13/17,0.089594142
12/14/17,0.085189655
12/15/17,0.06379403
12/16/17,0.090227273
12/17/17,0.082818898
12/18/17,0.088403974
12/19/17,0.113680851
12/20/17,0.093832579
12/21/17,0.061032432
12/22/17,0.096800633
12/23/17,0.091121795
12/24/17,0.08387395
12/25/17,0.131684211
12/26/17,0.114754839
12/27/17,0.114418605
12/28/17,0.076476684
12/29/17,0.076028205
12/30/17,0.083038889
12/31/17,0.073742647
1/1/18,0.0948
1/2/18,0.097881319
1/3/18,0.092256236
1/4/18,0.111114486
1/5/18,0.084720412
1/6/18,0.117852174
1/7/18,0.132238806
1/8/18,0.093488764
1/9/18,0.077314607
1/10/18,0.093232092
1/11/18,0.088752599
1/12/18,0.086100917
1/13/18,0.107661692
1/14/18,0.119508982
1/15/18,0.103959276
1/16/18,0.094016878
1/17/18,0.102744505
1/18/18,0.092173643
1/19/18,0.081346021
1/20/18,0.104256158
1/21/18,0.078952991
1/22/18,0.088523232
1/23/18,0.089993711
1/24/18,0.072871681
1/25/18,0.073763043
1/26/18,0.083075435
1/27/18,0.079216867
1/28/18,0.097324607
1/29/18,0.088432188
1/30/18,0.08662095
1/31/18,0.078767341
2/1/18,0.065309762
2/2/18,0.083032864
2/3/18,0.08811583
2/4/18,0.096183099
2/5/18,0.069959311
